"filename", "language", "JSON", "XML", "JavaScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\components\pages\Posts\CreatePost.js", "JavaScript", 0, 0, 183, 0, 0, 0, 16, 22, 221
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\components\pages\Posts\OldCreatePost.js", "JavaScript", 0, 0, 59, 0, 0, 0, 3, 15, 77
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\components\pages\Profile.js", "JavaScript", 0, 0, 317, 0, 0, 0, 27, 57, 401
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\index.css", "CSS", 0, 0, 0, 0, 0, 4, 1, 1, 6
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\index.js", "JavaScript", 0, 0, 16, 0, 0, 0, 4, 5, 25
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\layouts\AuthLayout.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\routes\AccountsRoutes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 2, 4, 21
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\routes\AuthRoute.js", "JavaScript", 0, 0, 21, 0, 0, 0, 3, 4, 28
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\routes\CreateRoutes.js", "JavaScript", 0, 0, 10, 0, 0, 0, 2, 4, 16
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\store\auth.js", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 2, 26
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\store\index.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\store\storage.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\utils\firebase.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\src\utils\yup-phone.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\mex_a\Desktop\Full-Stack\1. Frontend\React\javascript\instagram-clone-v21\tailwind.config.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 1, 23
"Total", "-", 95, 97, 2779, 9, 20, 4, 294, 378, 3676
